Curso;Módulo atual;Faltas Consecutivas;Idade;Sexo;Bairro;Cidade;Pend. Acad.;Possui Pendência Financeira;Bolsista;Antecipou Parcela;Situação (código)
Curso Técnico em Administração;0;0;36;1;Nossa Senhora Aparecida;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;29;1;Humberto Lopes;Itambé;0;1;0;0;7
Curso Técnico em Administração;0;0;25;1;São Pedro-Henriqueta Prates;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;38;1;Campinhos-Residencial Campo Verde;Vitória da Conquista;0;1;0;0;10
Curso Técnico em Administração;0;0;43;1;Felicia;Vitória da Conquista;0;1;0;0;8
Curso Técnico em Administração;0;0;39;1;São Vicente;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;33;1;Brasil;Vitória da Conquista;1;1;0;0;11
Curso Técnico em Administração;0;0;26;0;Felícia-Morada dos Passaros III;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;32;1;Zabelê-Vila Serrana III;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;31;0;Kadija;Vitória da Conquista;0;1;0;0;7
Curso Técnico em Administração;0;0;22;1;Ibirapuera;Vitória da Conquista;0;1;0;0;10
Curso Técnico em Administração;0;8;21;0;São Pedro-Henriqueta Prates;Vitória da Conquista;1;0;0;0;9
Curso Técnico em Administração;0;0;44;0;Panorama;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;25;0;Espírito Santo;Vitória da Conquista;1;0;0;0;6
Curso Técnico em Administração;0;0;41;1;Boa Vista;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;31;1;Boa Vista;Vitória da Conquista;0;1;0;0;10
Curso Técnico em Administração;0;17;24;1;Vila America;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;40;0;Jurema;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;27;1;Jatoba;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;26;1;Alto Maron;Vitória da Conquista;0;1;0;0;7
Curso Técnico em Administração;0;0;25;1;Chacaras Candeias;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;25;37;1;Rural Matinha;Vitória da Conquista;0;1;0;0;8
Curso Técnico em Administração;0;0;32;1;Primavera;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;30;0;Zabelê;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;34;0;Zabelê;Vitória da Conquista;0;0;0;0;5
Curso Técnico em Administração;0;0;24;0;Candeias;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;0;19;1;Zona Rural Lagoa Formosa;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;27;0;Jatobá-Jardim Sudoeste;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;0;22;1;Centro;Tremedal;0;0;0;0;0
Curso Técnico em Administração;0;12;23;0;Centro;Vitória da Conquista;0;0;0;0;2
Curso Técnico em Administração;0;11;32;0;Centro;Vitória da Conquista;0;1;0;0;7
Curso Técnico em Administração;0;0;23;0;Zona Rural;Vitória da Conquista;0;0;0;0;0
Curso Técnico em Administração;0;9;32;0;Espírito Santo;Vitória da Conquista;0;1;0;0;7
Curso Técnico em Administração;0;13;34;1;Patagônia;Vitória da Conquista;0;1;0;0;8
Curso Técnico em Administração;0;13;22;1;Candeias / Nova Cidade;Vitória da Conquista;0;1;0;0;7
